,time,Electrode 1,Electrode 2,Electrode 3,Electrode 4,Electrode 5,Electrode 6,Electrode 7,Electrode 8
93,0.3760170630448556,168796.53125,132234.0,149600.5,133240.1875,153874.25,149571.71875,685925.375,148948.28125
94,0.38001726300353766,168786.171875,132221.21875,149586.734375,133222.390625,153865.03125,149560.796875,685855.1875,148936.75
95,0.38404303829884157,168786.25,132219.609375,149585.84375,133221.671875,153868.796875,149566.4375,685871.0625,148939.6875
96,0.38804363847884815,168794.921875,132222.5625,149593.4375,133232.59375,153879.875,149574.484375,685981.6875,148949.96875
97,0.3920429386635078,168799.3125,132222.375,149596.03125,133237.328125,153884.796875,149581.1875,685987.5,148950.15625
98,0.3960430386214284,168790.90625,132209.953125,149586.109375,133226.6875,153872.015625,149563.578125,685954.625,148938.265625
99,0.4000432385764725,168795.546875,132215.21875,149590.75,133231.421875,153872.28125,149559.828125,685895.25,148939.875
100,0.4040433385343931,168801.640625,132224.171875,149596.125,133235.09375,153874.421875,149558.75,685845.6875,148943.625
101,0.40804363849019865,168797.703125,132219.421875,149590.3125,133234.1875,153865.125,149541.3125,685927.625,148936.125
102,0.41204373844811926,168799.484375,132217.546875,149585.390625,133233.75,153850.8125,149516.640625,686003.0625,148909.828125
103,0.416042838631256,168810.484375,132228.71875,149591.5625,133235.359375,153852.875,149514.671875,685981.3125,148906.25
104,0.4200430385899381,168805.921875,132223.8125,149583.515625,133219.984375,153841.609375,149511.8125,685917.0625,148892.84375
105,0.42404323854498216,168804.3125,132228.359375,149584.9375,133221.328125,153840.265625,149517.890625,685847.5,148891.234375
106,0.4280434385036642,168802.34375,132222.734375,149584.9375,133226.234375,153841.96875,149524.5,685825.125,148905.453125
107,0.43204353846158483,168799.125,132211.46875,149575.828125,133215.421875,153830.609375,149512.703125,685829.9375,148896.328125
108,0.43604273864184506,168798.328125,132211.828125,149570.109375,133209.421875,153823.90625,149513.859375,685928.25,148880.859375
109,0.44004313859841204,168790.015625,132203.953125,149562.140625,133205.046875,153820.59375,149510.640625,685939.125,148887.21875
